File,Over,Under,Neutral,Sentiment
2013_ПАО ЮТЭЙР_Мартиросов А.З..docx,7,22,116,-0.10344827586206896
2015_Транснефть_Токарев Н.П..docx,6,19,234,-0.05019305019305019
2010_Саратовский НПЗ_Захаров В.А..docx,1,1,21,0.0
2023_ВТБ_Костин А.Л..docx,18,32,281,-0.04229607250755287
2022_Русал_Никитин Е.В..docx,3,2,39,0.022727272727272728
2020_Якутская ТЭК_Коробов А.В..docx,2,6,103,-0.036036036036036036
2025_ПАО КАМАЗ_Кологин С.А..docx,15,29,189,-0.060085836909871244
2024_Русгидро_Хмарин В..docx,1,3,11,-0.13333333333333333
2023_Росбанк_Воеводина Н.В..docx,1,22,117,-0.15
2024_ГК Сегежа_Шамолин М.В..docx,8,37,155,-0.145
2021_Группа Черкизово_Михайлов С.И..docx,13,29,212,-0.06299212598425197
2022_АФК Система_Ситдеков.docx,6,10,69,-0.047058823529411764
2019_Сбер_ Греф Г.О..docx,8,13,123,-0.034722222222222224
2023_Инарктика_Соснов И..docx,9,27,99,-0.13333333333333333
2023_Селигдар_Татаринов С.М..docx,7,3,50,0.06666666666666667
2021_Росбанк_Поляков И.А..docx,3,13,125,-0.07092198581560284
2020_ПАО КАМАЗ_Кологин С.А..docx,20,23,196,-0.012552301255230125
2020_ПАО Банк Уралсиб_Бобров К.А..docx,2,12,39,-0.18867924528301888
2025_Соллерс_Соболев Н.А..docx,1,0,2,0.3333333333333333
2020_ПАО Русполимет_Ключай М.В..docx,3,6,85,-0.031914893617021274
2019_Русгидро_Шульгинов Н.Г..docx,13,19,181,-0.028169014084507043
2024_Башинформсвязь_Нищев С.К..docx,3,3,22,0.0
2020_Инарктика_Соснов И..docx,4,16,93,-0.10619469026548672
2019_Татнефть_Маганов Н.У..docx,1,25,144,-0.1411764705882353
2020_Транснефть_Токарев Н.П..docx,3,2,32,0.02702702702702703
2023_Соллерс_Соболев Н.А..docx,6,6,39,0.0
2021_GlobalTruck_Саттаров И.К..docx,32,36,236,-0.013157894736842105
2021_ТМК_Чирков С.В..docx,3,6,56,-0.046153846153846156
2018_Газпромнефть_Дюков А.В..docx,9,19,195,-0.04484304932735426
2021_ПАО Мегафон_Помбухчан Х.Э..docx,19,29,173,-0.04524886877828054
2023_Северсталь_Шевелев А.А..docx,3,25,148,-0.125
2021_X5 Retail Group_Шехтерман И.В..docx,1,1,26,0.0
2024_Северсталь_Шевелев А.А..docx,4,25,162,-0.1099476439790576
2024_ГК Сегежа_Шамолин М.В. (2).docx,7,7,82,0.0
2005_РКК Энергия_Севастьянов Н.Н..docx,1,6,72,-0.06329113924050633
2024_Совкомфлот_Тонковидов И.В..docx,7,19,102,-0.09375
2020_Русал_Никитин Е.В..docx,6,17,123,-0.07534246575342465
2021_ПАО Абрау-Дюрсо_Масловский В.В..docx,5,2,41,0.0625
2024_ГК Самолет_Елистратов А..pdf,7,28,129,-0.12804878048780488
2019_ЮНИПРО_Широков М.Г..docx,3,28,131,-0.15432098765432098
2024_X5 Retail Group_Шехтерман И.В..docx,7,8,35,-0.02
2021_ТМК_Корытько И.В..docx,13,14,181,-0.004807692307692308
2023_Русгидро_Хмарин В..docx,5,3,16,0.08333333333333333
2020_Газпромнефть_Дюков А.В..docx,16,33,324,-0.045576407506702415
2008_Сургутнефтегаз_Богданов В.Л..docx,9,18,139,-0.05421686746987952
2020_Татнефть_Маганов Н.У..docx,20,33,243,-0.04391891891891892
2023_Совкомфлот_Тонковидов И.В..docx,3,13,81,-0.10309278350515463
